T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
1, 0, 0.25125, 0, 0.249994
1.01414, -1.96, 0.98875, 0.304915, 0.0266173
1.02828, 0, 0.25125, 0, 0.243118
1.04242, 0, 0.25125, 0, 0.23982
1.05657, -1.98, 0.995, 0.141893, 0.00936998
1.07071, -1.98, 0.995, 0.13817, 0.00924623
1.08485, -1.975, 0.99375, 0.23579, 0.0159873
1.09899, -2, 1.00125, 0, -0.00683014
1.11313, -1.995, 0.99875, 0.0322018, 0.0022403
1.12727, -2.005, 1.0025, -0.0315563, -0.00889315
1.14141, -1.995, 0.99875, 0.0306257, 0.00218479
1.15556, -1.99, 0.9975, 0.0596117, 0.00430529
1.1697, -2.005, 1.0025, -0.0293088, -0.0085706
1.18384, -1.99, 0.9975, 0.0567974, 0.00420243
1.19798, -1.98, 0.995, 0.110371, 0.00826391
1.21212, -2.005, 1.0025, -0.0272931, -0.00827062
1.22626, -1.975, 0.99375, 0.184542, 0.0141436
1.2404, -1.99, 0.9975, 0.0517353, 0.00401079
1.25455, 0, 0.25125, 0, 0.19927
1.26869, -1.98, 0.995, 0.0984116, 0.00780334
1.28283, -1.965, 0.99, 0.167168, 0.0191764
1.29697, -1.975, 0.99375, 0.164969, 0.0133725
1.31111, -1.985, 0.99625, 0.069284, 0.00567744
1.32525, -1.98, 0.995, 0.0901899, 0.00747027
1.33939, -1.995, 0.99875, 0.0222411, 0.00186185
1.35354, -1.965, 0.99, 0.150159, 0.0181746
1.36768, -2, 1.00125, 0, -0.00548832
1.38182, -1.975, 0.99375, 0.145332, 0.0125514
1.39596, -1.975, 0.99375, 0.142402, 0.0124242
1.4101, -1.94, 0.98125, 0.23416, 0.0362341
1.42424, 0, 0.25125, 0, 0.175528
1.43838, -2, 1.00125, 0, -0.00521853
1.45253, -1.96, 0.98875, 0.148638, 0.018584
1.46667, 0, 0.25125, 0, 0.17045
1.48081, -1.965, 0.99, 0.125456, 0.0166126
1.49495, -1.935, 0.98125, 0.26091, 0.0341776
1.50909, 0, 0.25125, 0, 0.165659
1.52323, -1.975, 0.99375, 0.0851206, 0.00810366
1.53737, -2.005, 1.0025, -0.0169662, -0.00652086
1.55152, -1.95, 0.985, 0.162014, 0.0252012
1.56566, 0, 0.25125, 0, 0.159673
1.5798, -1.89, 0.9675, 0.333205, 0.05113
1.59394, -1.965, 0.99, 0.10828, 0.0154335
1.60808, -1.855, 0.95625, 0.41606, 0.0683074
1.62222, -1.975, 0.9925, 0.0750493, 0.0121901
1.63636, -1.95, 0.985, 0.145648, 0.0238944
1.65051, -1.805, 0.94125, 0.546185, 0.0900898
1.66465, -1.945, 0.9825, 0.154418, 0.0293005
1.67879, -1.94, 0.98125, 0.165204, 0.0304349
1.69293, -1.925, 0.9775, 0.2015, 0.0342454
1.70707, -1.94, 0.9825, 0.159775, 0.0256433
1.72121, 0, 0.25125, 0, 0.145243
1.73535, -1.855, 0.95625, 0.4104, 0.0690601
1.74949, -1.915, 0.975, 0.212727, 0.0357246
1.76364, 0, 0.25125, 0, 0.141749
1.77778, 0, 0.25125, 0, 0.140621
1.79192, -1.925, 0.9775, 0.179852, 0.0323536
1.80606, -1.9, 0.97, 0.232996, 0.042302
1.8202, 0, 0.25125, 0, 0.137344
1.83434, 0, 0.25125, 0, 0.136285
1.84848, -1.885, 0.965, 0.253768, 0.0487426
1.86263, -1.9, 0.97, 0.21906, 0.0410174
1.87677, 0, 0.25125, 0, 0.133204
1.89091, -1.85, 0.955, 0.310443, 0.0591779
1.90505, -1.955, 0.98625, 0.0969631, 0.0192875
1.91919, -1.92, 0.975, 0.166807, 0.0351711
