T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
1, -1.95, 0.98625, 0.47, 0.0367438
1.01414, -2, 1.00125, 0, -0.00740158
1.02828, -1.98, 0.99375, 0.149806, 0.0168667
1.04242, -1.995, 0.99875, 0.0367184, 0.00239226
1.07071, -2, 1.00125, 0, -0.00701055
1.08485, -1.965, 0.99, 0.23375, 0.022676
1.09899, -2.005, 1.0025, -0.0332014, -0.00912201
1.11313, -1.99, 0.9975, 0.0642422, 0.00446937
1.12727, -1.99, 0.9975, 0.0626405, 0.00441331
1.14141, -1.98, 0.995, 0.121582, 0.00867345
1.1697, -1.95, 0.98625, 0.343519, 0.0314131
1.18384, -2.005, 1.0025, -0.0286127, -0.00846822
1.19798, -1.975, 0.9925, 0.137616, 0.016507
1.22626, -1.95, 0.98625, 0.312558, 0.029964
1.2404, -1.975, 0.9925, 0.128363, 0.0159424
1.25455, -1.98, 0.995, 0.100643, 0.0078913
1.26869, -1.98, 0.99375, 0.0984116, 0.0136706
1.28283, -1.915, 0.975, 0.39565, 0.0487205
1.29697, -1.965, 0.99, 0.163543, 0.0189673
1.32525, -1.955, 0.98625, 0.200365, 0.0277258
1.33939, -1.99, 0.9975, 0.0443707, 0.00371437
1.35354, -1.965, 0.99, 0.150159, 0.0181746
1.36768, -2, 1.00125, 0, -0.00548832
1.38182, -2.005, 1.0025, -0.0210011, -0.00725493
1.4101, -1.95, 0.985, 0.196139, 0.0277285
1.42424, -1.955, 0.9875, 0.173481, 0.020625
1.43838, -1.98, 0.995, 0.0765606, 0.00688272
1.45253, -1.965, 0.99, 0.13039, 0.016936
1.49495, -1.98, 0.995, 0.0708765, 0.0066223
1.50909, -1.915, 0.97375, 0.285902, 0.0462157
1.53737, -1.975, 0.9925, 0.0835619, 0.0128628
1.55152, -1.955, 0.9875, 0.146186, 0.0189331
1.56566, -2.005, 1.0025, -0.0163588, -0.00640306
1.5798, -1.935, 0.98125, 0.201582, 0.029177
1.60808, -1.99, 0.9975, 0.030782, 0.00309375
1.62222, -1.95, 0.98625, 0.148199, 0.0195681
1.63636, -1.915, 0.975, 0.243158, 0.0381944
1.65051, -1.885, 0.965, 0.318299, 0.0545894
1.66465, -1.89, 0.9675, 0.300103, 0.0485238
1.67879, -1.915, 0.97375, 0.231023, 0.0415441
1.69293, -1.85, 0.955, 0.415211, 0.0690519
1.72121, -1.86, 0.9575, 0.351586, 0.0626158
1.73535, -1.96, 0.98875, 0.104136, 0.0155552
1.74949, -1.915, 0.975, 0.212727, 0.0357246
1.76364, -1.92, 0.97625, 0.19753, 0.0341588
1.77778, -1.9, 0.97, 0.240469, 0.042975
1.79192, -1.86, 0.95875, 0.349302, 0.0589835
1.80606, -1.945, 0.9825, 0.131183, 0.0270063
1.8202, -1.835, 0.95125, 0.389691, 0.0675715
1.83434, -1.915, 0.97375, 0.193502, 0.0380211
1.87677, -1.785, 0.93375, 0.435829, 0.0878871
1.89091, -1.875, 0.96125, 0.262198, 0.0536746
1.90505, -1.83, 0.9475, 0.342884, 0.0703262
1.91919, -1.865, 0.96, 0.273423, 0.0513758
1.94747, -1.905, 0.9725, 0.190869, 0.0343907
1.96162, -1.91, 0.9725, 0.178693, 0.0366917
1.97576, -1.89, 0.9675, 0.213033, 0.0408831
1.9899, -1.965, 0.99, 0.069475, 0.0123624
2.01818, -1.85, 0.95375, 0.292164, 0.0614136
2.03232, -1.79, 0.9375, 0.402776, 0.0784201
2.06061, -1.925, 0.97625, 0.136007, 0.0316624
2.07475, -1.705, 0.90875, 0.467386, 0.105648
2.08889, -1.895, 0.9675, 0.182401, 0.0410625
2.10303, -1.775, 0.93125, 0.361202, 0.0801671
