T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Lattice size: 40×40
2.1, -1.64973, 0.860275, 1.18512, 1.33437
2.11837, -1.63146, 0.848884, 1.2445, 1.60348
2.13673, -1.6108, 0.835495, 1.31675, 1.97981
2.1551, -1.58832, 0.8177, 1.42825, 2.93573
2.17347, -1.56479, 0.797021, 1.52335, 4.97333
2.19184, -1.53996, 0.775626, 1.6319, 5.50015
2.2102, -1.51411, 0.749652, 1.75844, 8.1045
2.22857, -1.48196, 0.710675, 1.89264, 11.9076
2.24694, -1.44838, 0.658977, 2.10479, 18.6916
2.26531, -1.41455, 0.608377, 2.18614, 23.3797
2.28367, -1.37656, 0.543122, 2.13182, 27.2648
2.29592, -1.35032, 0.490676, 2.13016, 31.0545
2.30816, -1.33043, 0.454221, 2.02636, 30.8889
2.32041, -1.30871, 0.417426, 1.95577, 31.0517
2.33265, -1.28559, 0.368318, 1.71623, 28.4071
2.3449, -1.26707, 0.336423, 1.64576, 27.181
2.35714, -1.24832, 0.305885, 1.51624, 24.0668
2.36939, -1.23177, 0.28289, 1.41836, 21.8082
2.38163, -1.21662, 0.266994, 1.36896, 20.2543
2.39388, -1.20224, 0.2489, 1.27547, 17.9789
2.10612, -1.64448, 0.856818, 1.20899, 1.42505
2.12449, -1.62572, 0.845165, 1.25855, 1.66909
2.14286, -1.60535, 0.831389, 1.3517, 2.16756
2.16122, -1.58119, 0.811785, 1.4486, 2.91329
2.17959, -1.55895, 0.793882, 1.56426, 4.51802
2.19796, -1.53023, 0.760125, 1.75151, 9.27228
2.21633, -1.50537, 0.742699, 1.7893, 7.50518
2.23469, -1.46976, 0.688154, 2.02002, 15.7129
2.25306, -1.43773, 0.641325, 2.11113, 20.9205
2.27143, -1.40076, 0.58602, 2.13582, 23.8166
2.2898, -1.36504, 0.519267, 2.18116, 29.7849
2.30204, -1.34156, 0.482201, 2.06672, 29.4071
2.31429, -1.32171, 0.444366, 1.93986, 29.8077
2.32653, -1.29539, 0.386016, 1.81814, 30.001
2.33878, -1.27565, 0.354049, 1.72242, 28.5896
2.35102, -1.25634, 0.318256, 1.56736, 25.1537
2.36327, -1.24242, 0.30243, 1.48543, 23.5366
2.37551, -1.22574, 0.276873, 1.41801, 21.8524
2.38776, -1.20767, 0.245907, 1.29452, 18.4393
2.4, -1.194, 0.231208, 1.22708, 16.5736
2.11224, -1.63802, 0.853088, 1.20639, 1.42559
2.13061, -1.61732, 0.838575, 1.31677, 2.23409
2.14898, -1.5973, 0.825474, 1.36944, 2.34159
2.16735, -1.57369, 0.806085, 1.4979, 3.64322
2.18571, -1.54946, 0.786589, 1.55893, 4.21243
2.20408, -1.52191, 0.754714, 1.74173, 8.90844
2.22245, -1.49377, 0.724667, 1.9, 11.5493
2.24082, -1.45794, 0.675089, 1.97594, 15.9803
2.25918, -1.42606, 0.630933, 2.10711, 20.5619
2.27755, -1.38521, 0.550661, 2.14534, 28.5443
Lattice size: 60×60
2.1, -1.65086, 0.859749, 1.24893, 3.38515
2.11837, -1.63165, 0.847391, 1.31562, 3.44641
2.13673, -1.61173, 0.834501, 1.37005, 3.42907
2.1551, -1.58978, 0.816763, 1.47925, 6.81321
2.19184, -1.54155, 0.77486, 1.73801, 9.17086
2.17347, -1.56707, 0.799872, 1.56799, 4.86878
2.2102, -1.51375, 0.747846, 1.83436, 9.60352
2.22857, -1.48149, 0.701403, 2.07621, 19.4589
2.24694, -1.44783, 0.643704, 2.28127, 35.8313
2.26531, -1.4055, 0.548604, 2.47485, 59.0978
2.28367, -1.36692, 0.464391, 2.38445, 61.6151
2.29592, -1.3408, 0.394891, 2.16471, 66.6725
2.30816, -1.31906, 0.348757, 1.95936, 59.1071
2.32041, -1.29762, 0.304575, 1.79693, 51.4232
2.33265, -1.27787, 0.262123, 1.60218, 42.0674
2.3449, -1.26109, 0.238724, 1.52151, 38.1545
2.35714, -1.24359, 0.213341, 1.41528, 33.1935
2.36939, -1.22947, 0.19818, 1.36057, 29.2827
2.38163, -1.21379, 0.176622, 1.26192, 23.0171
2.39388, -1.20077, 0.165087, 1.20283, 20.786
2.10612, -1.64486, 0.857618, 1.21737, 1.44163
2.12449, -1.62513, 0.84435, 1.28739, 2.33329
2.14286, -1.60448, 0.8301, 1.39681, 2.69355
2.16122, -1.58246, 0.813531, 1.50167, 3.80163
2.17959, -1.55798, 0.793017, 1.58294, 4.39451
2.19796, -1.5327, 0.769028, 1.70818, 7.188
2.21633, -1.50452, 0.739119, 1.81487, 9.26379
2.23469, -1.46974, 0.68359, 2.08748, 23.6117
2.25306, -1.43701, 0.632841, 2.26178, 34.773
2.27143, -1.39421, 0.531284, 2.39091, 54.0937
2.2898, -1.35485, 0.431422, 2.29121, 66.2389
