T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Lattice size: 40×40
2.2, -1.52766, 0.763384, 1.71041, 6.86526
2.21837, -1.49944, 0.732938, 1.82012, 9.25135
2.20918, -1.51354, 0.749051, 1.75697, 7.21617
2.23673, -1.46492, 0.683073, 2.04605, 16.1113
2.24592, -1.44727, 0.652187, 2.16355, 20.9625
2.22755, -1.48124, 0.702741, 1.9828, 14.8437
2.2551, -1.43111, 0.634081, 2.12223, 20.0938
2.26429, -1.41167, 0.600972, 2.16235, 23.8806
2.27347, -1.39627, 0.574191, 2.1739, 26.4398
2.28265, -1.37956, 0.55023, 2.14249, 27.2524
2.29184, -1.35938, 0.507818, 2.14243, 30.4543
2.29796, -1.34664, 0.485779, 2.10899, 30.6556
2.3102, -1.32454, 0.446118, 1.96521, 30.0872
2.30408, -1.33752, 0.472197, 2.06054, 30.2109
2.31633, -1.31399, 0.424863, 1.95753, 30.5891
2.32857, -1.29145, 0.383219, 1.8044, 28.8865
2.32245, -1.30109, 0.400461, 1.84891, 29.0376
2.34082, -1.27339, 0.356504, 1.71834, 27.6062
2.33469, -1.28108, 0.361726, 1.74961, 28.3031
2.34694, -1.26192, 0.331915, 1.59584, 25.6229
2.20306, -1.52318, 0.758282, 1.75032, 7.4374
2.21224, -1.5096, 0.745362, 1.79179, 7.63264
2.22143, -1.49413, 0.725707, 1.85889, 9.9932
2.2398, -1.46199, 0.682654, 2.00969, 15.0558
2.23061, -1.47989, 0.70831, 1.92774, 12.1621
2.24898, -1.44553, 0.65992, 2.10019, 17.7765
2.25816, -1.4263, 0.623217, 2.19024, 22.7761
2.26735, -1.40646, 0.58832, 2.21954, 26.0188
2.27653, -1.39172, 0.57261, 2.1527, 25.0617
2.28571, -1.36879, 0.519836, 2.14194, 30.1812
2.2949, -1.35693, 0.510879, 2.11715, 28.7538
2.30102, -1.34496, 0.483211, 2.07727, 31.0513
2.31327, -1.3204, 0.441839, 1.996, 29.916
2.30714, -1.32896, 0.447111, 2.04018, 31.3841
2.31939, -1.31081, 0.424908, 1.89458, 28.8488
2.32551, -1.29815, 0.393202, 1.85917, 30.2713
2.33163, -1.28684, 0.369961, 1.76118, 29.3477
2.34388, -1.26835, 0.343217, 1.65902, 26.889
2.33776, -1.2777, 0.357306, 1.70874, 28.1372
2.35, -1.26088, 0.337473, 1.61315, 25.6208
2.20612, -1.51833, 0.750667, 1.78154, 8.78388
2.21531, -1.50383, 0.736835, 1.82414, 9.11861
2.22449, -1.48939, 0.719263, 1.89985, 10.7837
2.23367, -1.47194, 0.691898, 2.01215, 15.483
2.24286, -1.45298, 0.658867, 2.16056, 20.7424
