⟨ϵ⟩, ⟨|m|⟩
-1.8474, 0.96145
-1.73148, 0.920525
-1.67378, 0.895271
-1.63851, 0.874691
-1.57671, 0.842847
-1.54943, 0.832335
-1.53616, 0.830496
-1.52125, 0.816748
-1.50873, 0.806238
-1.49611, 0.790849
-1.48087, 0.771868
-1.46043, 0.753271
-1.4543, 0.740494
-1.43929, 0.725054
-1.424, 0.709768
-1.41095, 0.690946
-1.40167, 0.680916
-1.39826, 0.672617
-1.38969, 0.66252
-1.38047, 0.657026
-1.37456, 0.65762
-1.36781, 0.657448
-1.36133, 0.655838
-1.35483, 0.653349
-1.35166, 0.651997
-1.34795, 0.646702
-1.34706, 0.638719
-1.34865, 0.634915
-1.34916, 0.633325
-1.34972, 0.633871
-1.34771, 0.633208
-1.34786, 0.634982
-1.34869, 0.635633
-1.34854, 0.63528
-1.34843, 0.634501
-1.35099, 0.635531
-1.35194, 0.636401
-1.3572, 0.638282
-1.36389, 0.642366
-1.36692, 0.64597
-1.36665, 0.647561
-1.36682, 0.649257
-1.37031, 0.652075
-1.36782, 0.651741
-1.36398, 0.650955
-1.36059, 0.649812
-1.35797, 0.649028
-1.354, 0.645367
-1.34783, 0.63739
-1.34169, 0.629452
-1.3355, 0.619446
-1.33139, 0.609949
-1.32708, 0.60076
-1.32238, 0.592728
-1.31677, 0.585087
-1.31311, 0.57834
-1.30957, 0.572263
-1.30587, 0.570144
-1.30246, 0.570149
-1.30136, 0.571496
-1.30439, 0.575577
-1.30877, 0.579699
-1.30938, 0.581895
-1.30758, 0.582254
-1.30581, 0.581767
-1.30534, 0.581348
-1.30463, 0.580704
-1.3034, 0.580331
-1.3024, 0.579267
-1.30225, 0.578462
-1.30199, 0.577479
-1.30284, 0.578054
-1.30158, 0.57856
-1.3018, 0.579876
-1.30257, 0.580889
-1.30308, 0.582063
-1.30266, 0.581845
-1.30213, 0.580602
-1.30225, 0.578223
-1.30168, 0.575825
-1.29968, 0.574017
-1.2978, 0.572228
-1.29565, 0.570705
-1.2939, 0.568944
-1.29201, 0.565997
-1.29168, 0.561794
-1.2918, 0.558417
