⟨ϵ⟩, ⟨|m|⟩
-0.348375, 0.0401125
-0.628888, 0.0705687
-0.845783, 0.130892
-1.01723, 0.204481
-1.15562, 0.282018
-1.25422, 0.344631
-1.33282, 0.39833
-1.39295, 0.443802
-1.44337, 0.487031
-1.48606, 0.526554
-1.52698, 0.566068
-1.56447, 0.601675
-1.59798, 0.632315
-1.62669, 0.658579
-1.65158, 0.68134
-1.67336, 0.701256
-1.69257, 0.718829
-1.70965, 0.73445
-1.72493, 0.748426
-1.73868, 0.761005
-1.75113, 0.772386
-1.76244, 0.782732
-1.77277, 0.792178
-1.78224, 0.800837
-1.79095, 0.808804
-1.79899, 0.816158
-1.80643, 0.822967
-1.81335, 0.829289
-1.81917, 0.835023
-1.82456, 0.840363
-1.83012, 0.845487
-1.83543, 0.850316
-1.84042, 0.854852
-1.84461, 0.858997
-1.84896, 0.863003
-1.85316, 0.866808
-1.85713, 0.870408
-1.86089, 0.873818
-1.86445, 0.877054
-1.86784, 0.880127
-1.87107, 0.883051
-1.87414, 0.885836
-1.87706, 0.888491
-1.87965, 0.890974
-1.88165, 0.893227
-1.88421, 0.895546
-1.88667, 0.897768
-1.88904, 0.899898
-1.89107, 0.901884
-1.89307, 0.903802
-1.89517, 0.905688
-1.89719, 0.907502
-1.89913, 0.909247
-1.90099, 0.910928
-1.90279, 0.912547
-1.90453, 0.914109
-1.90621, 0.915616
-1.90756, 0.917005
-1.90905, 0.918392
-1.91056, 0.919752
-1.91203, 0.921067
-1.91345, 0.92234
-1.91482, 0.923573
-1.91615, 0.924767
-1.91744, 0.925925
-1.91869, 0.927047
-1.91991, 0.928136
-1.92108, 0.929193
-1.92223, 0.930219
-1.92334, 0.931216
-1.92442, 0.932185
-1.92547, 0.933126
-1.92649, 0.934042
-1.92748, 0.934934
-1.92845, 0.935801
-1.92939, 0.936646
-1.93019, 0.937438
-1.93054, 0.938106
-1.93131, 0.938862
-1.93217, 0.939626
-1.93301, 0.940372
-1.93383, 0.941099
-1.93462, 0.941808
