⟨ϵ⟩, ⟨|m|⟩
-9.9998e-09, -1.38675e+261
-6.82564e-07, 2.90198e+257
-3.68285e-06, 7.10472e-07
-3.98656e-07, 2.99425e-06
1.05696e-06, -1.38672e+261
-1.61617e-05, 5.28608e-06
-1.61617e-05, 5.28608e-06
-1.29311e-06, 2.90194e+257
-5.50271e-06, 4.66754e+232
-3.03317e-07, 7.26995e-06
2.78933e-06, -1.38669e+261
-3.56016e-06, 2.90191e+257
-2.55249e-05, 9.59335e-06
-8.85263e-07, 1.09968e-05
5.16409e-06, -1.38666e+261
-5.01263e-06, 2.90188e+257
7.21828e-06, -1.38664e+261
-9.7332e-07, 1.46861e+06
-4.92347e-06, 1.83237e-05
4.80573e-06, 2.90184e+257
-4.92347e-06, 1.83237e-05
-0.0091, 0.0366
-3.66541e-05, 1.08293e-05
-4.89761e-06, 9.32925e-07
-2.65126e-06, 1.46859e+06
-2.65126e-06, 1.46859e+06
-1.56035e-05, 4.66746e+232
-0.0289375, 0.0556813
8.373e-06, -1.38661e+261
-5.09908e-05, 1.46391e-05
-5.94343e-06, 1.46857e+06
-4.09143e-06, 2.90181e+257
-2.25073e-05, 4.66739e+232
-8.58952e-06, 2.90381e-05
-7.10659e-05, 2.2881e-05
-0.0640333, 0.0743542
-5.46213e-06, 2.90178e+257
-3.93937e-06, 5.74508e-06
-9.41057e-05, 3.49612e-05
1.0915e-05, -1.38658e+261
-0.0476938, 0.0584719
-7.3699e-06, 2.90174e+257
2.4934e-06, 1.01626e-05
-8.6922e-06, 1.46855e+06
-0.000116759, 4.75888e-05
-0.03842, 0.0593325
-8.36743e-06, 2.90171e+257
1.99496e-05, 1.65017e-05
-0.000141373, 6.02333e-05
-2.92981e-05, 4.66732e+232
-1.40737e-05, 4.12797e-05
-0.0240167, 0.0719646
1.29734e-05, -1.38655e+261
-0.00016581, 7.37195e-05
-9.42092e-06, 2.90168e+257
4.64174e-05, 2.43323e-05
1.30487e-05, -1.38652e+261
-1.91184e-05, 5.46321e-05
-0.000189506, 8.81322e-05
-1.30661e-05, 1.46853e+06
-3.55256e-05, 4.66724e+232
-2.07356e-05, 6.34478e-05
1.248e-05, -1.3865e+261
-0.00021304, 0.000100907
-2.09623e-05, 7.06967e-05
1.27307e-05, -1.38647e+261
-0.000237899, 0.000116327
-0.0108179, 0.0889339
-1.2339e-05, 2.90165e+257
8.3244e-05, 3.55819e-05
-0.000259699, 0.000136063
-0.00580938, 0.0975969
-0.000283963, 0.000159628
-0.00519722, 0.100933
-0.000306146, 0.000182702
0.000123529, 5.34541e-05
1.12998e-05, -1.38644e+261
-1.75143e-05, 1.46851e+06
-0.01369, 0.101896
-1.93782e-05, 7.67585e-05
-0.000329386, 0.000203698
-1.53019e-05, 2.90161e+257
-1.53019e-05, 2.90161e+257
1.05373e-05, -1.38641e+261
-2.25729e-05, 1.46849e+06
-0.0208295, 0.100853
-4.22963e-05, 4.66717e+232
-0.000351739, 0.000227297
1.16492e-05, -1.38639e+261
-2.7824e-05, 1.46847e+06
-0.0365188, 0.101798
0.000162136, 7.47072e-05
-0.000370557, 0.000251469
1.25757e-05, -1.38636e+261
-3.23968e-05, 1.46845e+06
-1.86789e-05, 2.90158e+257
-1.68037e-05, 8.35811e-05
-1.68037e-05, 8.35811e-05
-5.01516e-05, 4.66709e+232
-0.0566538, 0.105473
1.4082e-05, -1.38633e+261
-2.30297e-05, 2.90155e+257
0.000204203, 9.35446e-05
0.000204203, 9.35446e-05
7
-3.96494e-05, 1.46843e+06
0.000204203, 9.35446e-05
7
-3.96494e-05, 1.46843e+06
-0.00038292, 0.000278788
-0.0732125, 0.110445
-4.77583e-05, 1.46842e+06
-0.00038983, 0.000313143
-2.88088e-05, 2.90151e+257
0.000266857, 0.00011382
-1.27646e-05, 8.7376e-05
1.87716e-05, -1.3863e+261
1.87716e-05, -1.3863e+261
-0.000396885, 0.000347752
-5.97859e-05, 4.66702e+232
-0.09326, 0.127124
-1.07923e-05, 8.96279e-05
2.27948e-05, -1.38628e+261
-5.51248e-05, 1.4684e+06
-7.09162e-05, 4.66694e+232
0.000336718, 0.000142801
-1.03815e-05, 9.10553e-05
2.77305e-05, -1.38625e+261
-0.000408827, -8.06279e-05, 4.66687e+232-7.1558e-06, 9.49357e-05
0.000404763, 0.000174238
-0.000422692, 0.000401427
-0.000422692, 0.000401427
, 4.66687e+232
+257
3.13859e-05, -1.38622e+261
-0.111355, 0.140792
-4.11491e-06, 9.95652e-05
-4.11491e-06, 9.95652e-05

 4.66687e+232
-4.33473e-05, 2.90145e+257
0.000472361, 0.000205126
-0.00043299, 0.000428401
-0.00043299, 0.000428401
7
-0.132093, 0.155612
-6.22422e-05, 1.46838e+06
-4.97686e-05, 2.90141e+257
3.3394e-05, -1.38619e+261
-0.000444094, 0.000455535
0.000539767, 0.00023043
3.0053e-07, 0.000104573
-6.93277e-05, 1.46836e+06
-0.147169, 0.164367
-8.82037e-05, 4.66679e+232
-7.39395e-05, 1.46834e+06
3.10413e-05, -1.38616e+261
-5.67063e-05, 2.90138e+257
-0.157672, 0.170699
-0.00045137, 0.000486908
2.75068e-06, 0.000110523
0.000608614, 0.000258003
-9.58144e-05, 4.66672e+232
2.85679e-05, -1.38614e+261
-0.163425, 0.173692
-6.51031e-05, 2.90135e+257
3.47957e-06, 0.00011517
2.54533e-05, -1.38611e+261
-0.162992, 0.174149
-7.39894e-05, 2.90131e+257
5.1819e-06, 0.000119337
-0.164141, 0.177618
2.1972e-05, -1.38608e+261
7.84361e-06, 0.000122303
-0.00045721, 0.000520233
-0.000103011, 4.66664e+232
-0.168782, 0.179983
1.75934e-05, -1.38605e+261
1.17504e-05, 0.000124002
-0.000469082, 0.000549607
-8.34502e-05, 2.90128e+257
-7.84899e-05, 1.46832e+06
-0.179494, 0.185092
-0.179494, 0.185092
1.65376e-05, -1.38603e+261
-0.179494, 0.185092
1.65376e-05, -1.38603e+261
0.000681182, 0.000287519
-9.28359e-05, 2.90125e+257
1.82901e-05, 0.000125335
-0.000478137, 0.000584471
-8.3735e-05, 1.4683e+06
1.48982e-05, -1.386e+261
-0.000101658, 2.90121e+257
0.000744222, 0.000313667
-0.186888, 0.189931
2.71586e-05, 0.000127276
-0.000108603, 4.66657e+232
-0.000489665, 0.000620171
1.06853e-05, -1.38597e+261
-0.000109832, 2.90118e+257
0.000796455, 0.00033468
-8.88863e-05, 1.46828e+06
-0.000117668, 2.90115e+257
-0.192131, 0.194555
-0.000112639, 4.66649e+232
-0.000501891, 0.000654993
7.11073e-06, -1.38594e+261
0.000850537, 0.000354482
3.3493e-05, 0.000131184
-0.194252, 0.198481
-0.000515242, 0.000693333
-9.51242e-05, 1.46826e+06
3.9372e-05, 0.000138228
-0.000124937, 2.90111e+257
0.000916024, 0.000368476
-0.000101532, 1.46824e+06
4.50556e-05, 0.000147314
-0.00013058, 2.90108e+257
0.000980457, 0.000374981
4.24237e-07, -1.38591e+261
-0.000115278, 4.66642e+232
4.83073e-05, 0.000154578
-0.194405, 0.202238
-0.194405, 0.202238
-0.000135594, 2.90105e+257
-0.000528177, 0.000737374
-0.000107527, 1.46822e+06
0.00104449, 0.000379765
-0.000121293, 4.66634e+232
5.13023e-05, 0.000158955
-0.00011406, 1.4682e+06
-7.88695e-06, -1.38589e+261
0.00111854, 0.000392158
5.21689e-05, 0.000162379
-0.000535852, 0.000783652
-0.192637, 0.209687
-0.000118589, 1.46818e+06
-1.69233e-05, -1.38586e+261
-0.00014259, 2.90102e+257
5.25546e-05, 0.000165234
-0.000544844, 0.000832268
-0.000120513, 1.46816e+06
-0.000129349, 4.66627e+232
-0.186338, 0.21918
0.00118667, 0.000401229
4.84953e-05, 0.000167799
-2.78715e-05, -1.38583e+261
-0.000121004, 1.46814e+06
-0.000121004, 1.46814e+06
-0.000555148, 0.000883677
-0.184274, 0.226061
-0.000148054, 2.90098e+257
4.00201e-05, 0.00016856
0.00125007, 0.000409698
0.00125007, 0.000409698
-0.000136233, 4.6662e+232
-3.78595e-05, -1.3858e+261
-0.000565225, 0.000936894
-0.179706, 0.234649
-0.000122564, 1.46812e+06
2.99855e-05, 0.000170589
-0.000153059, 2.90095e+257
-4.70406e-05, -1.38578e+261
-0.17537, 0.24333
-0.000571023, 0.000988331
1.8177e-05, 0.000171293
0.00130576, 0.000413142
-5.8777e-05, -1.38575e+261
-0.172835, 0.248931
-0.000569198, 0.00103376
5.36751e-06, 0.000173047
-0.000140566, 4.66612e+232
-0.000158201, 2.90092e+257
-0.168543, 0.254069
-0.000125474, 1.4681e+06
-0.000565704, 0.00107889
-0.000565704, 0.00107889
-7.08821e-05, -1.38572e+261
-6.93915e-06, 0.000174792
-0.000141419, 4.66605e+232
-0.000165282, 2.90088e+257
-0.166524, 0.258217
-1.47151e-05, 0.000175929
0.00134325, 0.000417386
-0.00014278, 4.66597e+232
-0.000556348, 0.00112117
-0.000173055, 2.90085e+257
-0.000129589, 1.46808e+06
-0.167867, 0.260477
-1.7344e-05, 0.000179264
-8.42308e-05, -1.38569e+261
-0.000547149, 0.00115992
-0.000144119, 4.6659e+232
-0.000131789, 1.46806e+06
-0.171861, 0.260751
0.00138203, 0.00042416
-0.000181033, 2.90082e+257
-0.000531571, 0.00119585
-0.000146229, 4.66582e+232
-2.13519e-05, 0.00018114
-9.59622e-05, -1.38567e+261
-9.59622e-05, -1.38567e+261
000132478, 1.46804e+06
-0.000518249, 0.00123272
0.00141975, 0.00043186
-0.000188958, 2.90078e+257
-0.000146386, 4.66575e+232
-0.17866, 0.259614
-0.000508446, 0.00126999
-2.59896e-05, 0.000181656
-0.000196365, 2.90075e+257
-0.000144267, 4.66567e+232
-0.000133022, 1.46802e+06
-2.75398e-05, 0.000182598
0.00146003, 0.000440024
-0.000202721, 2.90072e+257
-0.00014068, 4.6656e+232
-0.000133412, 1.468e+06
-0.000503585, 0.00131427
-0.000503585, 0.00131427
-2.97985e-05, 0.000184749
-0.188653, 0.257518
-0.000108006, -1.38564e+261
0.00149669, 0.000450998
-0.000134624, 1.46798e+06
-0.000501798, 0.00136215
-0.000208495, 2.90068e+257
-0.000135777, 4.66552e+232
-0.000135777, 4.66552e+232
-0.00011881, -1.38561e+261
0.00153192, 0.000466656
-0.000137872, 1.46796e+06
-0.000498471, 0.00141212
-3.58872e-05, 0.000189113
0.00158183, 0.000475371
-0.00014274, 1.46795e+06
-0.202407, 0.251767
-0.00021383, 2.90065e+257
-0.00021383, 2.90065e+257
-0.000492922, 0.00146296
-0.000132333, 4.66545e+232
-4.40771e-05, 0.000190857
-0.21583, 0.24655
-0.000148025, 1.46793e+06
-0.000220066, 2.90062e+257
-0.000488877, 0.00151377
-0.000126059, -1.38558e+261
0.00164452, 0.000483006
-0.00022655, 2.90058e+257
-0.000154338, 1.46791e+06
-0.000129029, 4.66537e+232
-0.229728, 0.243171
-0.000485897, 0.00156454
-0.000485897, 0.00156454
0.00171918, 0.000489222
-0.000232083, 2.90055e+257
-0.000485897, 0.00156454
0.00171918, 0.000489222
-5.3029e-05, 0.000191392
-0.000126131, 4.6653e+232
-0.000237394, 2.90052e+257
0.00178491, 0.000493529
0.00178491, 0.000493529
-0.000478205, 0.00161547
-0.000160906, 1.46789e+06
-0.000132192, -1.38555e+261
